Date,iRate_1D
1/21/97,6.68052E-05
1/22/97,6.68052E-05
1/23/97,6.68052E-05
1/24/97,6.65536E-05
1/27/97,6.71824E-05
1/28/97,6.68052E-05
1/29/97,6.68052E-05
1/30/97,6.68052E-05
1/31/97,6.64278E-05
2/3/97,6.60503E-05
2/4/97,6.57986E-05
2/5/97,6.61762E-05
2/6/97,6.6302E-05
2/7/97,6.6302E-05
2/10/97,6.66794E-05
2/11/97,6.6302E-05
2/12/97,6.65536E-05
2/13/97,6.61762E-05
2/14/97,6.57986E-05
2/18/97,6.60503E-05
2/19/97,6.59245E-05
2/20/97,6.57986E-05
2/21/97,6.56727E-05
2/24/97,6.65536E-05
2/25/97,6.61762E-05
2/26/97,6.73081E-05
2/27/97,6.73081E-05
2/28/97,6.73081E-05
3/3/97,6.75595E-05
3/4/97,6.76852E-05
3/5/97,6.71824E-05
3/6/97,6.74338E-05
3/7/97,6.73081E-05
3/10/97,6.70567E-05
3/11/97,6.68052E-05
3/12/97,6.71824E-05
3/13/97,6.78109E-05
3/14/97,6.75595E-05
3/17/97,6.76852E-05
3/18/97,6.76852E-05
3/19/97,6.81878E-05
3/20/97,6.88159E-05
3/21/97,6.96946E-05
3/24/97,6.95692E-05
3/25/97,7.0071E-05
3/26/97,6.89415E-05
3/27/97,6.91926E-05
3/31/97,6.89415E-05
4/1/97,6.85647E-05
4/2/97,6.83134E-05
4/3/97,6.79366E-05
4/4/97,6.81878E-05
4/7/97,6.78109E-05
4/8/97,6.76852E-05
4/9/97,6.75595E-05
4/10/97,6.81878E-05
4/11/97,6.84391E-05
4/14/97,6.83134E-05
4/15/97,6.84391E-05
4/16/97,6.81878E-05
4/17/97,6.81878E-05
4/18/97,6.81878E-05
4/21/97,6.9067E-05
4/22/97,6.9067E-05
4/23/97,6.91926E-05
4/24/97,6.85647E-05
4/25/97,6.84391E-05
4/28/97,6.89415E-05
4/29/97,6.88159E-05
4/30/97,6.80622E-05
5/1/97,6.75595E-05
5/2/97,6.75595E-05
5/5/97,6.73081E-05
5/6/97,6.71824E-05
5/7/97,6.73081E-05
5/8/97,6.71824E-05
5/9/97,6.69309E-05
5/12/97,6.75595E-05
5/13/97,6.75595E-05
5/14/97,6.69309E-05
5/15/97,6.61762E-05
5/16/97,6.70567E-05
5/19/97,6.93181E-05
5/20/97,6.94436E-05
5/21/97,6.60503E-05
5/22/97,6.68052E-05
5/23/97,6.68052E-05
5/27/97,6.68052E-05
5/28/97,6.68052E-05
5/29/97,6.49173E-05
5/30/97,6.40353E-05
6/2/97,6.54209E-05
6/3/97,6.51691E-05
6/4/97,6.56727E-05
6/5/97,6.59245E-05
6/6/97,6.54209E-05
6/9/97,6.5295E-05
6/10/97,6.51691E-05
6/11/97,6.42874E-05
6/12/97,6.41613E-05
6/13/97,6.45393E-05
6/16/97,6.49173E-05
6/17/97,6.51691E-05
6/18/97,6.49173E-05
6/19/97,6.55468E-05
6/20/97,6.55468E-05
6/23/97,6.5295E-05
6/24/97,6.54209E-05
6/25/97,6.54209E-05
6/26/97,6.66794E-05
6/27/97,6.64278E-05
6/30/97,6.76852E-05
7/1/97,6.68052E-05
7/2/97,6.70567E-05
7/3/97,6.6302E-05
7/7/97,6.60503E-05
7/8/97,6.60503E-05
7/9/97,6.59245E-05
7/10/97,6.64278E-05
7/11/97,6.6302E-05
7/14/97,6.73081E-05
7/15/97,6.73081E-05
7/16/97,6.66794E-05
7/17/97,6.68052E-05
7/18/97,6.75595E-05
7/21/97,6.79366E-05
7/22/97,6.68052E-05
7/23/97,6.70567E-05
7/24/97,6.74338E-05
7/25/97,6.75595E-05
7/28/97,6.75595E-05
7/29/97,6.75595E-05
7/30/97,6.75595E-05
7/31/97,6.76852E-05
8/1/97,6.80622E-05
8/4/97,6.81878E-05
8/5/97,6.81878E-05
8/6/97,6.81878E-05
8/7/97,6.83134E-05
8/8/97,6.81878E-05
8/11/97,6.84391E-05
8/12/97,6.84391E-05
8/13/97,6.85647E-05
8/14/97,6.88159E-05
8/15/97,6.81878E-05
8/18/97,6.74338E-05
8/19/97,6.76852E-05
8/20/97,6.75595E-05
8/21/97,6.79366E-05
8/22/97,6.76852E-05
8/25/97,6.80622E-05
8/26/97,6.80622E-05
8/27/97,6.80622E-05
8/28/97,6.75595E-05
8/29/97,6.75595E-05
9/2/97,6.71824E-05
9/3/97,6.6302E-05
9/4/97,6.6302E-05
9/5/97,6.66794E-05
9/8/97,6.65536E-05
9/9/97,6.65536E-05
9/10/97,6.59245E-05
9/11/97,6.61762E-05
9/12/97,6.57986E-05
9/15/97,6.55468E-05
9/16/97,6.56727E-05
9/17/97,6.57986E-05
9/18/97,6.57986E-05
9/19/97,6.5295E-05
9/22/97,6.47913E-05
9/23/97,6.47913E-05
9/24/97,6.37832E-05
9/25/97,6.36571E-05
9/26/97,6.44133E-05
9/29/97,6.54209E-05
9/30/97,6.5295E-05
10/1/97,6.57986E-05
10/2/97,6.54209E-05
10/3/97,6.49173E-05
10/6/97,6.55468E-05
10/7/97,6.5295E-05
10/8/97,6.56727E-05
10/9/97,6.6302E-05
10/10/97,6.6302E-05
10/14/97,6.55468E-05
10/15/97,6.5295E-05
10/16/97,6.54209E-05
10/17/97,6.5295E-05
10/20/97,6.56727E-05
10/21/97,6.54209E-05
10/22/97,6.65536E-05
10/23/97,6.61762E-05
10/24/97,6.64278E-05
10/27/97,6.55468E-05
10/28/97,6.76852E-05
10/29/97,6.69309E-05
10/30/97,6.66794E-05
10/31/97,6.71824E-05
11/3/97,6.78109E-05
11/4/97,6.76852E-05
11/5/97,6.79366E-05
11/6/97,6.84391E-05
11/7/97,6.84391E-05
11/10/97,6.85647E-05
11/12/97,6.83134E-05
11/13/97,6.79366E-05
11/14/97,6.79366E-05
11/17/97,6.84391E-05
11/18/97,6.84391E-05
11/19/97,6.80622E-05
11/20/97,6.80622E-05
11/21/97,6.76852E-05
11/24/97,6.81878E-05
11/25/97,6.83134E-05
11/26/97,6.78109E-05
11/28/97,6.73081E-05
12/1/97,6.79366E-05
12/2/97,6.78109E-05
12/3/97,6.78109E-05
12/4/97,6.79366E-05
12/5/97,6.83134E-05
12/8/97,6.81878E-05
12/9/97,6.79366E-05
12/10/97,6.71824E-05
12/11/97,6.70567E-05
12/12/97,6.68052E-05
12/15/97,6.74338E-05
12/16/97,6.74338E-05
12/17/97,6.76852E-05
12/18/97,6.75595E-05
12/19/97,6.86903E-05
12/22/97,7.03219E-05
12/23/97,7.03219E-05
12/24/97,6.93181E-05
12/26/97,6.89415E-05
12/29/97,7.01966E-05
12/30/97,7.01966E-05
12/31/97,6.9067E-05
1/2/98,6.85647E-05
